gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,Yes,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,1217.32,0
Male,1,Yes,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.52,1218.79,1
Female,1,No,No,62,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,98.91,5973.23,0
Male,0,Yes,No,28,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),70.17,1898.16,0
Female,0,No,No,28,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),74.13,2088.05,0
Male,0,No,No,0,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,91.66,0.0,0
Male,0,No,No,49,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,75.72,3798.83,0
Male,1,No,Yes,1,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,60.41,11.81,0
Female,0,Yes,No,70,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,92.0,6471.85,0
Male,0,Yes,Yes,50,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,104.11,5252.31,0
Female,0,No,No,33,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,83.73,2758.21,0
Male,0,Yes,No,48,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),70.51,3320.0,0
Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),30.75,2189.88,0
Female,1,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,32.39,311.05,0
Male,0,Yes,No,54,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,83.88,4468.61,1
Male,0,Yes,No,63,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,54.4,3343.89,0
Female,0,No,Yes,42,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,55.24,2379.92,0
Female,0,No,Yes,48,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.22,4663.52,0
Female,0,No,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),33.04,1199.21,0
Male,0,Yes,No,11,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,74.27,843.61,0
Female,0,No,Yes,71,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.95,4027.75,0
Female,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),29.9,574.94,0
Female,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,86.6,2346.25,1
Female,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),32.75,2403.36,0
Female,1,No,Yes,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),70.71,297.77,0
Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),84.62,2490.49,0
Male,0,No,Yes,40,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,72.34,2877.23,0
Female,0,Yes,Yes,17,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),82.07,1257.0,0
Male,0,Yes,No,48,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,811.27,0
Male,0,Yes,No,38,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),109.35,4188.66,1
Female,0,No,Yes,19,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,86.57,1666.66,1
Male,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,84.98,1278.83,0
Male,0,No,No,20,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,68.33,1416.94,0
Male,0,Yes,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,37.18,2028.31,0
Female,1,Yes,Yes,38,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,73.57,2868.35,1
Female,0,Yes,Yes,57,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),65.83,3897.49,0
Female,1,Yes,No,52,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Mailed check,92.1,4875.75,0
Female,0,No,Yes,58,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),71.15,4103.35,0
Male,0,No,No,62,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),95.07,5999.24,0
Male,0,No,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.24,1393.87,0
Male,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,32.19,828.58,0
Male,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),28.16,1456.59,0
Male,0,No,No,68,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),89.0,6160.41,0
Female,0,Yes,Yes,23,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),83.55,1727.89,0
Female,0,No,No,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.25,479.15,0
Female,0,No,Yes,64,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,40.56,2475.15,0
Female,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.02,1342.66,0
Male,0,No,Yes,10,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,59.6,633.92,0
Female,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.94,789.63,1
Female,0,No,Yes,18,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,79.74,1338.38,0
Female,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,93.24,3284.52,0
Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.58,1733.8,0
Male,0,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),44.88,2795.56,0
Female,0,No,No,70,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.17,6222.0,0
Female,0,No,Yes,54,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,66.96,3508.96,0
Female,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.53,1109.06,0
Male,0,No,No,48,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),66.72,3132.12,0
Female,0,No,No,36,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Mailed check,60.58,2065.71,0
Male,0,No,No,2,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),54.47,200.8,0
Male,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,28.27,273.0,0
Male,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.45,1165.17,0
Female,0,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.53,1588.98,0
Female,0,No,No,18,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),62.3,1166.6,0
Female,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,71.45,46.28,1
Male,0,Yes,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.33,315.67,1
Female,0,Yes,Yes,22,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),92.88,1969.74,0
