customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0000-1803,Male,0,Yes,Yes,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,1217.32,No
0001-7964,Male,1,Yes,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.52,1218.79,Yes
0002-6890,Female,1,No,No,62,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,98.91,5973.23,No
0003-4949,Male,0,Yes,No,28,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),70.17,1898.16,No
0004-4896,Female,0,No,No,28,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),74.13,2088.05,No
0005-8726,Male,0,No,No,0,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,91.66,,No
0006-1773,Male,0,No,No,49,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,75.72,3798.83,No
0007-7275,Male,1,No,Yes,1,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,60.41,11.81,No
0008-2813,Female,0,Yes,No,70,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,92.0,6471.85,No
0009-1847,Male,0,Yes,Yes,50,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,104.11,5252.31,No
0010-5737,Female,0,No,No,33,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,83.73,2758.21,No
0011-9779,Male,0,Yes,No,48,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),70.51,3320.0,No
0012-7621,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),30.75,2189.88,No
0013-7849,Female,1,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,32.39,311.05,No
0014-7456,Male,0,Yes,No,54,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,83.88,4468.61,Yes
0015-8073,Male,0,Yes,No,63,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,54.4,3343.89,No
0016-5618,Female,0,No,Yes,42,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,55.24,2379.92,No
0017-2152,Female,0,No,Yes,48,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.22,4663.52,No
0018-8556,Female,0,No,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),33.04,1199.21,No
